IC	Gene	n_genes	phenotype
IC16	MYL1	169	
IC16	NPNT	169	
IC16	JAM2	169	
IC16	SORBS2	169	
IC16	DCLK1	169	
IC16	FABP3	169	
IC16	MAP1A	169	
IC16	CDKN1A	169	
IC16	FHL1	169	
IC16	CASQ2	169	
IC16	MYH7	169	
IC16	FBXO32	169	
IC16	MYL4	169	
IC16	MTRNR2L10	169	
IC16	PPME1	169	
IC16	TNNC1	169	
IC16	SETD7	169	
IC16	ENO3	169	
IC16	OLFML2A	169	
IC16	MYOG	169	
IC16	CKB	169	
IC16	SMAD3	169	
IC16	SCD	169	
IC16	MYH2	169	
IC16	ACTA1	169	
IC16	ADAMTS5	169	
IC16	NHSL1	169	
IC16	TSPAN7	169	
IC16	LDB3	169	
IC16	IRGQ	169	
IC16	ACTN2	169	
IC16	WIPF3	169	
IC16	MSMO1	169	
IC16	C15orf52	169	
IC16	LMOD3	169	
IC16	TNNT3	169	
IC16	EGLN3	169	
IC16	MTRNR2L3	169	
IC16	ATP1A2	169	
IC16	TXNRD1	169	
IC16	WWTR1	169	
IC16	PACS2	169	
IC16	SNX27	169	
IC16	TNNT1	169	
IC16	NEB	169	
IC16	LGMN	169	
IC16	PDLIM5	169	
IC16	IDS	169	
IC16	ARPP21	169	
IC16	SYNPO2	169	
IC16	SH3PXD2A	169	
IC16	NECAP1	169	
IC16	PEA15	169	
IC16	CASP3	169	
IC16	S1PR2	169	
IC16	PRUNE	169	
IC16	CRMP1	169	
IC16	MYH8	169	
IC16	ORAI2	169	
IC16	HMGCS1	169	
IC16	ITGA4	169	
IC16	VASH2	169	
IC16	TNNT2	169	
IC16	MRAS	169	
IC16	SVIL	169	
IC16	LDLR	169	
IC16	TNNC2	169	
IC16	ZFP106	169	
IC16	FAM20B	169	
IC16	C21orf7	169	
IC16	RNF14	169	
IC16	SYNJ2	169	
IC16	AIF1L	169	
IC16	ATP2A2	169	
IC16	SDC2	169	
IC16	SLC4A4	169	
IC16	HN1	169	
IC16	FKBP14	169	
IC16	SMPX	169	
IC16	TMEM97	169	
IC16	SYNPO2L	169	
IC16	WDR46	169	
IC16	BCAS1	169	
IC16	BMP7	169	
IC16	MURC	169	
IC16	BGN	169	
IC16	SERPINB6	169	
IC16	GNE	169	
IC16	ITGA11	169	
IC16	DHCR24	169	
IC16	9-Sep	169	
IC16	ACLY	169	
IC16	MFAP5	169	
IC16	ZNF772	169	
IC16	UCHL1	169	
IC16	NDST1	169	
IC16	C1orf198	169	
IC16	FDFT1	169	
IC16	ARL4C	169	
IC16	BIN1	169	
IC16	HMGCR	169	
IC16	KLHL31	169	
IC16	C12orf65	169	
IC16	MYH1	169	
IC16	SQLE	169	
IC16	NTN4	169	
IC16	STK10	169	
IC16	DHRS3	169	
IC16	DHCR7	169	
IC16	IL32	169	
IC16	REEP1	169	
IC16	ACAT2	169	
IC16	CDKN1C	169	
IC16	MEF2C	169	
IC16	TMEM8C	169	
IC16	TCTA	169	
IC16	ARHGAP26	169	
IC16	TGFB3	169	
IC16	F13A1	169	
IC16	RGS4	169	
IC16	MTHFR	169	
IC16	EGFLAM	169	
IC16	BPGM	169	
IC16	DEK	169	
IC16	PNMA2	169	
IC16	NRSN2	169	
IC16	LINC00263	169	
IC16	CKM	169	
IC16	TP53INP2	169	
IC16	TAGLN	169	
IC16	IER3	169	
IC16	ANK2	169	
IC16	ATCAY	169	
IC16	RNF144B	169	
IC16	COPS7A	169	
IC16	DAXX	169	
IC16	DCTN4	169	
IC16	ZNF556	169	
IC16	HS6ST2	169	
IC16	UNC45B	169	
IC16	TUBB6	169	
IC16	TUBB	169	
IC16	GGA2	169	
IC16	TRAK1	169	
IC16	11-Sep	169	
IC16	KANSL3	169	
IC16	C21orf62	169	
IC16	ADA	169	
IC16	NUAK1	169	
IC16	ANKS1A	169	
IC16	OSBPL2	169	
IC16	STK38L	169	
IC16	GMFB	169	
IC16	HSD17B10	169	
IC16	FNDC5	169	
IC16	ATXN1	169	
IC16	GAP43	169	
IC16	TRIB2	169	
IC16	ABHD4	169	
IC16	TSPAN14	169	
IC16	TES	169	
IC16	ARHGAP23	169	
IC16	SFRP4	169	
IC17	CTNNBL1	178	
IC17	PRMT5	178	
IC17	MRPL10	178	
IC17	ALKBH1	178	
IC17	COQ5	178	
IC17	PIR	178	
IC17	IFT46	178	
IC17	RRN3	178	
IC17	QRSL1	178	
IC17	ORC5	178	
IC17	IFIT5	178	
IC17	PEX11B	178	
IC17	LTA4H	178	
IC17	PEX19	178	
IC17	GSS	178	
IC17	FAM206A	178	
IC17	METTL17	178	
IC17	TOMM34	178	
IC17	PAAF1	178	
IC17	BECN1	178	
IC17	GOSR2	178	
IC17	RAB9A	178	
IC17	AAAS	178	
IC17	IDH1	178	
IC17	EIF2D	178	
IC17	AP5M1	178	
IC17	EXOC2	178	
IC17	CIRH1A	178	
IC17	SCOC	178	
IC17	NME7	178	
IC17	SH3RF1	178	
IC17	C17orf75	178	
IC17	MRPL49	178	
IC17	FASTKD5	178	
IC17	TCEB3	178	
IC17	AAR2	178	
IC17	PIGC	178	
IC17	NOB1	178	
IC17	MRRF	178	
IC17	UBE2L6	178	
IC17	VWA9	178	
IC17	FASTKD2	178	
IC17	ARMCX2	178	
IC17	TSSC1	178	
IC17	RABEPK	178	
IC17	HEATR1	178	
IC17	ZNF268	178	
IC17	ATG4C	178	
IC17	MED20	178	
IC17	PPIE	178	
IC17	COQ3	178	
IC17	HARS2	178	
IC17	DDX52	178	
IC17	FH	178	
IC17	DYNC2LI1	178	
IC17	HMBS	178	
IC17	TAF12	178	
IC17	GSTA4	178	
IC17	TSR1	178	
IC17	NOL10	178	
IC17	TMEM99	178	
IC17	TIMM22	178	
IC17	TEFM	178	
IC17	MINA	178	
IC17	PIGU	178	
IC17	ASUN	178	
IC17	DDX41	178	
IC17	MRFAP1L1	178	
IC17	MAPRE2	178	
IC17	TTC5	178	
IC17	CRYZ	178	
IC17	MTX1	178	
IC17	TRIAP1	178	
IC17	UCP2	178	
IC17	PPT1	178	
IC17	PET112	178	
IC17	C12orf4	178	
IC17	AGA	178	
IC17	CBR4	178	
IC17	LYRM1	178	
IC17	PPIL1	178	
IC17	MTERF	178	
IC17	NT5DC3	178	
IC17	TAMM41	178	
IC17	ZNHIT3	178	
IC17	HDAC8	178	
IC17	CRKL	178	
IC17	RPP40	178	
IC17	MOSPD1	178	
IC17	ELP6	178	
IC17	MED28	178	
IC17	NPRL2	178	
IC17	TFB2M	178	
IC17	CLU	178	
IC17	ZNF271	178	
IC17	GDAP1	178	
IC17	C1GALT1C1	178	
IC17	C3orf14	178	
IC17	TADA1	178	
IC17	FOXRED1	178	
IC17	EIF2B4	178	
IC17	PSMD13	178	
IC17	PEX13	178	
IC17	MTERFD1	178	
IC17	PPP2R1B	178	
IC17	MKS1	178	
IC17	RBM18	178	
IC17	MST4	178	
IC17	NOL11	178	
IC17	CAT	178	
IC17	GFM1	178	
IC17	CD44	178	
IC17	PNRC2	178	
IC17	GEMIN6	178	
IC17	ZFAND1	178	
IC17	TAF9B	178	
IC17	LRRC40	178	
IC17	SAMM50	178	
IC17	CUTC	178	
IC17	SWI5	178	
IC17	TARS2	178	
IC17	POLR1C	178	
IC17	RINT1	178	
IC17	CLCN3	178	
IC17	DPH5	178	
IC17	EFCAB7	178	
IC17	FAM118B	178	
IC17	TMEM98	178	
IC17	RCL1	178	
IC17	RGS2	178	
IC17	PMPCA	178	
IC17	SLC25A17	178	
IC17	BRMS1	178	
IC17	ERAL1	178	
IC17	METTL22	178	
IC17	DRG1	178	
IC17	DUSP3	178	
IC17	SMUG1	178	
IC17	TMEM101	178	
IC17	RCHY1	178	
IC17	HIBCH	178	
IC17	PISD	178	
IC17	PSMD10	178	
IC17	ZNHIT6	178	
IC17	RBM45	178	
IC17	CLUAP1	178	
IC17	RP5-874C20.3	178	
IC17	KLHL7	178	
IC17	MRPL1	178	
IC17	GDAP2	178	
IC17	GBA	178	
IC17	CBLL1	178	
IC17	PCID2	178	
IC17	ILF3-AS1	178	
IC17	CHCHD3	178	
IC17	ZNF260	178	
IC17	UTP6	178	
IC17	NKIRAS1	178	
IC17	TBK1	178	
IC17	TMEM168	178	
IC17	METTL3	178	
IC17	RANBP6	178	
IC17	BTBD10	178	
IC17	ANGPT1	178	
IC17	GPN1	178	
IC17	GNAI3	178	
IC17	C11orf1	178	
IC17	TCEAL1	178	
IC17	OXSM	178	
IC17	FAM200A	178	
IC17	SYS1	178	
IC17	STX17	178	
IC17	BDH2	178	
IC17	C17orf80	178	
IC17	NSF	178	
IC17	PSMB8	178	
IC17	ZNF3	178	
IC17	OBFC1	178	
IC18	HAS2	204	
IC18	LUM	204	
IC18	ENPP1	204	
IC18	RPS4Y1	204	
IC18	VCAN	204	
IC18	THBS2	204	
IC18	EDIL3	204	
IC18	TIMP3	204	
IC18	SLC14A1	204	
IC18	ISLR	204	
IC18	CDCP1	204	
IC18	FGF7	204	
IC18	PENK	204	
IC18	ADAMTS1	204	
IC18	HAPLN1	204	
IC18	MYLK	204	
IC18	LXN	204	
IC18	INHBA	204	
IC18	EIF1AY	204	
IC18	PDGFRA	204	
IC18	DDX3Y	204	
IC18	CD74	204	
IC18	OLFML3	204	
IC18	DCN	204	
IC18	CLDN11	204	
IC18	CTHRC1	204	
IC18	ITGA6	204	
IC18	SCARA3	204	
IC18	MFAP5	204	
IC18	PHLDA1	204	
IC18	PLCB4	204	
IC18	GPR1	204	
IC18	FNDC1	204	
IC18	GLT8D2	204	
IC18	ENPP2	204	
IC18	SEMA5A	204	
IC18	PRRX1	204	
IC18	TM4SF1	204	
IC18	TGM2	204	
IC18	TNC	204	
IC18	LPXN	204	
IC18	C5orf30	204	
IC18	SRGN	204	
IC18	NAV3	204	
IC18	FST	204	
IC18	KIAA1644	204	
IC18	RAB27B	204	
IC18	KIAA1217	204	
IC18	APCDD1L	204	
IC18	PTN	204	
IC18	ELTD1	204	
IC18	SLC4A4	204	
IC18	ADAMTS5	204	
IC18	SULF1	204	
IC18	STEAP1B	204	
IC18	MEST	204	
IC18	C7orf10	204	
IC18	SHISA2	204	
IC18	XYLT1	204	
IC18	TNFRSF11B	204	
IC18	ALDH1A3	204	
IC18	KIAA1199	204	
IC18	DKK1	204	
IC18	ANTXR2	204	
IC18	PPAP2B	204	
IC18	PLAT	204	
IC18	IRS1	204	
IC18	GRAMD3	204	
IC18	FAM180A	204	
IC18	COL6A3	204	
IC18	ITGBL1	204	
IC18	PEAR1	204	
IC18	RFX8	204	
IC18	COL11A1	204	
IC18	PRDM1	204	
IC18	KCNK2	204	
IC18	CFI	204	
IC18	ODC1	204	
IC18	LAMA4	204	
IC18	ANKH	204	
IC18	STEAP1	204	
IC18	GPX7	204	
IC18	ID2	204	
IC18	C1GALT1	204	
IC18	VEGFC	204	
IC18	COLEC12	204	
IC18	DKK3	204	
IC18	SCFD2	204	
IC18	MANF	204	
IC18	MMP16	204	
IC18	CAPG	204	
IC18	TTTY15	204	
IC18	USP9Y	204	
IC18	SH2D4A	204	
IC18	ITPR3	204	
IC18	AXL	204	
IC18	SLC1A3	204	
IC18	HLA-DRA	204	
IC18	CFH	204	
IC18	MEF2C	204	
IC18	SGCD	204	
IC18	SERPINB1	204	
IC18	CTSK	204	
IC18	LOXL3	204	
IC18	CD200	204	
IC18	MRAS	204	
IC18	PDE7B	204	
IC18	ELOVL6	204	
IC18	MMP2	204	
IC18	FEZ1	204	
IC18	PPAPDC1A	204	
IC18	FKBP7	204	
IC18	FGF5	204	
IC18	LPHN2	204	
IC18	COL10A1	204	
IC18	RPSAP52	204	
IC18	CYP1B1	204	
IC18	RIN2	204	
IC18	CA12	204	
IC18	HMOX1	204	
IC18	NRP2	204	
IC18	DUSP10	204	
IC18	BAALC	204	
IC18	VEPH1	204	
IC18	HK2	204	
IC18	NR3C1	204	
IC18	GALNT5	204	
IC18	NET1	204	
IC18	FAM69A	204	
IC18	GALNT6	204	
IC18	SDC1	204	
IC18	TGFBR2	204	
IC18	RUNX2	204	
IC18	DOCK5	204	
IC18	BACE2	204	
IC18	ALPK2	204	
IC18	CD276	204	
IC18	HTRA1	204	
IC18	FZD1	204	
IC18	COL1A2	204	
IC18	DNAJB11	204	
IC18	EPDR1	204	
IC18	MARCKS	204	
IC18	GCNT1	204	
IC18	TMEM200A	204	
IC18	ANPEP	204	
IC18	MATN2	204	
IC18	TXLNG2P	204	
IC18	PTTG1IP	204	
IC18	ZFY	204	
IC18	LAMC1	204	
IC18	CHI3L1	204	
IC18	THY1	204	
IC18	GJA1	204	
IC18	KANK1	204	
IC18	C1S	204	
IC18	KDM5D	204	
IC18	CSGALNACT1	204	
IC18	RUNX1	204	
IC18	C9orf3	204	
IC18	CDH11	204	
IC18	LACC1	204	
IC18	LMO7	204	
IC18	VAMP5	204	
IC18	ADAMTS2	204	
IC18	SPECC1	204	
IC18	SERTAD2	204	
IC18	RGMB	204	
IC18	ADAM12	204	
IC18	FHOD3	204	
IC18	PMEPA1	204	
IC18	NFASC	204	
IC18	DOK5	204	
IC18	BCAR3	204	
IC18	TMEM98	204	
IC18	ABCA1	204	
IC18	EMP2	204	
IC18	NHSL1	204	
IC18	KLF12	204	
IC18	GPAM	204	
IC18	ITGA2	204	
IC18	NLGN4Y	204	
IC18	DIRAS3	204	
IC18	CRISPLD2	204	
IC18	GTF2F2	204	
IC18	IRX3	204	
IC18	FLJ20373	204	
IC18	TFRC	204	
IC18	COL3A1	204	
IC18	FGF2	204	
IC18	FMN2	204	
IC18	CEP170	204	
IC18	ESM1	204	
IC18	FOSL1	204	
IC18	ATP1B3	204	
IC18	FGF1	204	
IC18	SMAD7	204	
IC18	NTM	204	
IC18	DNAJC15	204	
IC18	AEBP1	204	
IC18	NRIP1	204	
IC18	TNFRSF10D	204	
IC18	SKAP2	204	
IC18	STC2	204	
IC19	LOX	151	
IC19	MMP1	151	
IC19	RB1	151	
IC19	AKAP11	151	
IC19	OCIAD2	151	
IC19	TMED7	151	
IC19	SERPINE2	151	
IC19	EDIL3	151	
IC19	LANCL2	151	
IC19	PAPSS2	151	
IC19	DCBLD2	151	
IC19	SPOCK1	151	
IC19	PRSS23	151	
IC19	TAB2	151	
IC19	TNFRSF10D	151	
IC19	IMPAD1	151	
IC19	GALNT1	151	
IC19	PLAUR	151	
IC19	AIDA	151	
IC19	TM4SF1	151	
IC19	FLJ20373	151	
IC19	LGR4	151	
IC19	EGLN1	151	
IC19	ARHGAP21	151	
IC19	PHLDA1	151	
IC19	ENC1	151	
IC19	KCNMA1	151	
IC19	ALKBH5	151	
IC19	CASP4	151	
IC19	CAMSAP2	151	
IC19	LIFR	151	
IC19	RNF11	151	
IC19	TTLL7	151	
IC19	PPP2R5E	151	
IC19	LRP11	151	
IC19	TEX261	151	
IC19	PGRMC1	151	
IC19	LPGAT1	151	
IC19	EGFR	151	
IC19	MAP3K2	151	
IC19	GJA1	151	
IC19	SYNJ2	151	
IC19	TERF2IP	151	
IC19	THBS1	151	
IC19	KIAA2026	151	
IC19	SLC7A11	151	
IC19	IL8	151	
IC19	C12orf75	151	
IC19	ACBD3	151	
IC19	AK3	151	
IC19	NUS1	151	
IC19	C16orf72	151	
IC19	ATP2C1	151	
IC19	SEPHS2	151	
IC19	DICER1	151	
IC19	RCN1	151	
IC19	MPZL1	151	
IC19	TM9SF3	151	
IC19	SLC25A24	151	
IC19	SEMA3C	151	
IC19	CEP170	151	
IC19	ADD3	151	
IC19	SH3BP4	151	
IC19	UACA	151	
IC19	CYP1B1	151	
IC19	POSTN	151	
IC19	FAM190B	151	
IC19	MYEOV	151	
IC19	ITGA11	151	
IC19	TMEM123	151	
IC19	GLRX	151	
IC19	KATNAL1	151	
IC19	TMEM165	151	
IC19	BICD2	151	
IC19	SLK	151	
IC19	UHMK1	151	
IC19	CASC4	151	
IC19	FXYD5	151	
IC19	ITM2B	151	
IC19	PRKCI	151	
IC19	CAMSAP1	151	
IC19	MTRNR2L8	151	
IC19	LRRC17	151	
IC19	ZFP91	151	
IC19	RRAGA	151	
IC19	TMEM189	151	
IC19	UBQLN2	151	
IC19	UHRF2	151	
IC19	SACS	151	
IC19	SEC61G	151	
IC19	PGRMC2	151	
IC19	PTPRF	151	
IC19	CCDC50	151	
IC19	CD2AP	151	
IC19	ANKRD50	151	
IC19	CDC42BPB	151	
IC19	ANKLE2	151	
IC19	TMEM181	151	
IC19	BNIP3	151	
IC19	FEZ2	151	
IC19	@	151	
IC19	LEPRE1	151	
IC19	LAMP1	151	
IC19	AHCYL1	151	
IC19	SH2B3	151	
IC19	PAM	151	
IC19	STK24	151	
IC19	KPNA3	151	
IC19	CD81	151	
IC19	TRIM44	151	
IC19	DDR1	151	
IC19	UBE2R2	151	
IC19	HIATL1	151	
IC19	TFPI2	151	
IC19	ATMIN	151	
IC19	DAP	151	
IC19	SPPL2A	151	
IC19	AMIGO2	151	
IC19	DESI2	151	
IC19	GNPTAB	151	
IC19	RPS4Y1	151	
IC19	FAM8A1	151	
IC19	TOPORS	151	
IC19	PPP1R18	151	
IC19	BASP1	151	
IC19	GPX8	151	
IC19	KIAA0232	151	
IC19	TIAL1	151	
IC19	MFSD1	151	
IC19	DYRK2	151	
IC19	CCDC6	151	
IC19	PAPPA	151	
IC19	FAM91A1	151	
IC19	WWC2	151	
IC19	STAT1	151	
IC19	AHNAK	151	
IC19	GPAM	151	
IC19	TENM2	151	
IC19	MOSPD2	151	
IC19	SEC24D	151	
IC19	HN1L	151	
IC19	RRAS2	151	
IC19	STX2	151	
IC19	ADO	151	
IC19	NTM	151	
IC19	SP100	151	
IC19	NEK7	151	
IC19	ARHGAP5	151	
IC19	PLGRKT	151	
IC19	KCTD9	151	
IC19	NAA30	151	
IC20	RPS4Y1	136	
IC20	DDX3Y	136	
IC20	EIF1AY	136	
IC20	TTTY15	136	
IC20	LUM	136	
IC20	SYT4	136	
IC20	CCL2	136	
IC20	CCK	136	
IC20	USP9Y	136	
IC20	C7	136	
IC20	CPEB4	136	
IC20	SLC17A8	136	
IC20	SCN1A	136	
IC20	RARRES2	136	
IC20	ACTN2	136	
IC20	KRT19	136	
IC20	PRKCA	136	
IC20	KDSR	136	
IC20	MAPT	136	
IC20	NET1	136	
IC20	SEPP1	136	
IC20	PAPPA	136	
IC20	KDM5D	136	
IC20	SEMA5A	136	
IC20	TXLNG2P	136	
IC20	LDHA	136	
IC20	AK4	136	
IC20	DNAJC15	136	
IC20	UBA6	136	
IC20	PRKY	136	
IC20	TNFAIP3	136	
IC20	CEACAM6	136	
IC20	CCDC171	136	
IC20	DNAJB1	136	
IC20	CCND2	136	
IC20	LXN	136	
IC20	RBP1	136	
IC20	CYP1B1	136	
IC20	THBS2	136	
IC20	HERPUD1	136	
IC20	STEAP1	136	
IC20	ARL4C	136	
IC20	CYSTM1	136	
IC20	TBX3	136	
IC20	ID2	136	
IC20	DPYSL3	136	
IC20	UTY	136	
IC20	LOX	136	
IC20	CHI3L1	136	
IC20	EGFR	136	
IC20	MYLK	136	
IC20	NLGN4Y	136	
IC20	BLOC1S6	136	
IC20	BDP1	136	
IC20	CDCP1	136	
IC20	LPHN2	136	
IC20	BTG2	136	
IC20	TIMP3	136	
IC20	AC058791.2	136	
IC20	EIF4A3	136	
IC20	CDC37L1	136	
IC20	PENK	136	
IC20	BDNF	136	
IC20	KMO	136	
IC20	SELK	136	
IC20	ZFP36	136	
IC20	MMP16	136	
IC20	CALCA	136	
IC20	PRKACB	136	
IC20	NCAM2	136	
IC20	RPS26	136	
IC20	CALCB	136	
IC20	KIFAP3	136	
IC20	FKBP7	136	
IC20	ZNF83	136	
IC20	CAPG	136	
IC20	EDIL3	136	
IC20	PLEKHA5	136	
IC20	RNF141	136	
IC20	DCN	136	
IC20	MAF	136	
IC20	CLDN1	136	
IC20	NRK	136	
IC20	BNIP3	136	
IC20	FGF7	136	
IC20	HAS2	136	
IC20	CD9	136	
IC20	C5orf30	136	
IC20	FNDC1	136	
IC20	ZFY	136	
IC20	SCG3	136	
IC20	ADAMTS1	136	
IC20	PHYHIPL	136	
IC20	TMEM132B	136	
IC20	CYB561	136	
IC20	CFI	136	
IC20	FCGRT	136	
IC20	B3GALNT1	136	
IC20	RAB27B	136	
IC20	TNFAIP6	136	
IC20	RCAN1	136	
IC20	KLHL9	136	
IC20	SPECC1	136	
IC20	HSPA5	136	
IC20	PTPN13	136	
IC20	RPL21	136	
IC20	ENPP2	136	
IC20	COLEC12	136	
IC20	VAT1	136	
IC20	SORBS2	136	
IC20	VCAN	136	
IC20	TSPAN7	136	
IC20	PARM1	136	
IC20	DKK3	136	
IC20	EIF1	136	
IC20	NHLRC3	136	
IC20	PNRC2	136	
IC20	SMARCE1	136	
IC20	PTPN22	136	
IC20	RFTN2	136	
IC20	ENO2	136	
IC20	WRB	136	
IC20	AHI1	136	
IC20	SERPINF1	136	
IC20	IGSF21	136	
IC20	RPL9	136	
IC20	LPXN	136	
IC20	GRIA3	136	
IC20	PSIP1	136	
IC20	CLDN11	136	
IC20	ALDH7A1	136	
IC20	FAM101B	136	
IC20	IRF2BP2	136	
IC20	OSTF1	136	
IC20	NDFIP1	136	
IC20	HELQ	136	
IC21	PLP1	212	
IC21	ADD3	212	
IC21	MTUS1	212	
IC21	TMEM144	212	
IC21	SEPP1	212	
IC21	ASAH1	212	
IC21	PCDH9	212	
IC21	ABCA1	212	
IC21	NCAM1	212	
IC21	HBP1	212	
IC21	TPP1	212	
IC21	BNIP3L	212	
IC21	GBP2	212	
IC21	CYBRD1	212	
IC21	CD9	212	
IC21	SCPEP1	212	
IC21	PTGDS	212	
IC21	PLEKHB1	212	
IC21	TF	212	
IC21	SSBP2	212	
IC21	GLUL	212	
IC21	CCNG1	212	
IC21	TMEM59	212	
IC21	SPP1	212	
IC21	4-Sep	212	
IC21	KLHL24	212	
IC21	IFIT2	212	
IC21	CLDND1	212	
IC21	PSAP	212	
IC21	SLC44A2	212	
IC21	NBR1	212	
IC21	TXNIP	212	
IC21	ARL6IP5	212	
IC21	CRYAB	212	
IC21	SERINC1	212	
IC21	CALCOCO1	212	
IC21	QDPR	212	
IC21	MANBA	212	
IC21	PHYHIPL	212	
IC21	MBP	212	
IC21	DHRS7	212	
IC21	FTO	212	
IC21	MAP1A	212	
IC21	ELMO1	212	
IC21	RARRES3	212	
IC21	LAMP2	212	
IC21	FAM69A	212	
IC21	RFTN2	212	
IC21	GBA	212	
IC21	SERINC3	212	
IC21	YPEL5	212	
IC21	CNDP1	212	
IC21	SYT11	212	
IC21	MBNL2	212	
IC21	WDR48	212	
IC21	JAM3	212	
IC21	GPM6B	212	
IC21	CA2	212	
IC21	ING4	212	
IC21	PSEN1	212	
IC21	HERPUD1	212	
IC21	GPRC5B	212	
IC21	PCYOX1	212	
IC21	CD46	212	
IC21	ABCA8	212	
IC21	RNF13	212	
IC21	MAPRE2	212	
IC21	HSPA2	212	
IC21	PDCD4	212	
IC21	KLK6	212	
IC21	GMPR2	212	
IC21	PDK2	212	
IC21	NPC2	212	
IC21	BBS2	212	
IC21	RASSF4	212	
IC21	SPARC	212	
IC21	HNRNPH2	212	
IC21	NDRG2	212	
IC21	PAIP2	212	
IC21	C4orf34	212	
IC21	NCSTN	212	
IC21	C5orf4	212	
IC21	MAGED2	212	
IC21	SCARB2	212	
IC21	LGALS3BP	212	
IC21	TP53INP1	212	
IC21	CRYL1	212	
IC21	FGF1	212	
IC21	TMEM66	212	
IC21	CHN1	212	
IC21	EFNA1	212	
IC21	BCOR	212	
IC21	PMP22	212	
IC21	RBPJ	212	
IC21	SIRT2	212	
IC21	CNP	212	
IC21	ST3GAL5	212	
IC21	HLA-E	212	
IC21	WBP1L	212	
IC21	FAM213A	212	
IC21	ARHGAP21	212	
IC21	STAT2	212	
IC21	GSN	212	
IC21	FAM107B	212	
IC21	RNASE1	212	
IC21	RTN3	212	
IC21	RP11-229E13.2	212	
IC21	SEC22C	212	
IC21	NIPAL3	212	
IC21	MKRN1	212	
IC21	ABHD4	212	
IC21	EDIL3	212	
IC21	BTBD3	212	
IC21	HMGCL	212	
IC21	PIP4K2A	212	
IC21	GRN	212	
IC21	ENPP2	212	
IC21	ARMCX3	212	
IC21	LRRC17	212	
IC21	CNPPD1	212	
IC21	SEL1L	212	
IC21	FAM13C	212	
IC21	CNTN2	212	
IC21	HSD17B11	212	
IC21	GDI2	212	
IC21	BNIP3	212	
IC21	HHATL	212	
IC21	CYB5R1	212	
IC21	CERCAM	212	
IC21	APOD	212	
IC21	CLU	212	
IC21	DOCK1	212	
IC21	SH3BGRL	212	
IC21	NHLRC3	212	
IC21	LCOR	212	
IC21	APH1B	212	
IC21	CPPED1	212	
IC21	LIPA	212	
IC21	VPS39	212	
IC21	PREPL	212	
IC21	KCNMB4	212	
IC21	DAZAP2	212	
IC21	CERS2	212	
IC21	MAGEH1	212	
IC21	KIF13B	212	
IC21	ZKSCAN1	212	
IC21	SPOCK1	212	
IC21	BUB3	212	
IC21	NPAT	212	
IC21	EZH1	212	
IC21	CPNE3	212	
IC21	ANXA7	212	
IC21	TMUB2	212	
IC21	CDS2	212	
IC21	HEXA	212	
IC21	PRCP	212	
IC21	DHCR7	212	
IC21	CCNG2	212	
IC21	TECR	212	
IC21	PTN	212	
IC21	NT5DC1	212	
IC21	C10orf10	212	
IC21	ERCC5	212	
IC21	CIR1	212	
IC21	C16orf62	212	
IC21	FAM214A	212	
IC21	DOCK9	212	
IC21	NUPR1	212	
IC21	SLC9A9	212	
IC21	SLC48A1	212	
IC21	BDH2	212	
IC21	SC5DL	212	
IC21	PCMTD1	212	
IC21	ZFYVE21	212	
IC21	PNKD	212	
IC21	APPL2	212	
IC21	KIDINS220	212	
IC21	ENPP4	212	
IC21	SCD	212	
IC21	TMEM41B	212	
IC21	FAM178A	212	
IC21	GSTK1	212	
IC21	ATRAID	212	
IC21	CLDN11	212	
IC21	P2RX7	212	
IC21	IFNGR1	212	
IC21	GLE1	212	
IC21	DDB2	212	
IC21	LANCL1	212	
IC21	MAPT	212	
IC21	RNF141	212	
IC21	NDRG1	212	
IC21	IFIT3	212	
IC21	MGST3	212	
IC21	B2M	212	
IC21	APBB2	212	
IC21	PRUNE2	212	
IC21	ELP2	212	
IC21	DOCK5	212	
IC21	INSR	212	
IC21	WSB1	212	
IC21	C11orf9	212	
IC21	TMEM128	212	
IC21	GBP3	212	
IC21	S100B	212	
IC21	UGT8	212	
IC21	SPOCK3	212	
IC21	ABCC5	212	
IC21	8-Sep	212	
IC21	DNM3	212	
IC21	PLA2G16	212	
IC21	NFASC	212	
IC22	CHI3L1	232	
IC22	GFAP	232	
IC22	C1S	232	
IC22	SERPINA3	232	
IC22	A2M	232	
IC22	CHI3L2	232	
IC22	SOD2	232	
IC22	C1R	232	
IC22	CFI	232	
IC22	C3	232	
IC22	MAOB	232	
IC22	SERPING1	232	
IC22	C8orf4	232	
IC22	GAP43	232	
IC22	EFEMP1	232	
IC22	ID3	232	
IC22	TNC	232	
IC22	CD44	232	
IC22	CLU	232	
IC22	VCAM1	232	
IC22	FAM107A	232	
IC22	HLA-DRA	232	
IC22	CADPS	232	
IC22	SAA1	232	
IC22	GBP1	232	
IC22	PDPN	232	
IC22	PIRT	232	
IC22	DPYD	232	
IC22	NAMPT	232	
IC22	CD74	232	
IC22	ACTN1	232	
IC22	AGT	232	
IC22	THBS2	232	
IC22	AQP4	232	
IC22	hsa-mir-6723	232	
IC22	MGST1	232	
IC22	GBP2	232	
IC22	VWA5A	232	
IC22	CXCR7	232	
IC22	BCL6	232	
IC22	GLRX	232	
IC22	RP11-263C16.2	232	
IC22	PPFIA2	232	
IC22	TAGLN	232	
IC22	EZR	232	
IC22	PSRC1	232	
IC22	GEM	232	
IC22	CA2	232	
